model_family,validation_method,train_or_test,evidence_class,balanced_accuracy,precision,recall,f1_score,directional_accuracy,sample_size,class_balance,status,limitation
Majority baseline,chronological 70/30 holdout,test,synthetic,0.5,0.493506,1.0,0.66087,0.493506,77,0.493506,reference,Synthetic data; result demonstrates evaluation workflow and is not evidence of market predictability.
Logistic regression,chronological 70/30 holdout,test,synthetic,0.455128,0.452381,0.5,0.475,0.454545,77,0.493506,rejected,Synthetic data; result demonstrates evaluation workflow and is not evidence of market predictability.
